SMILES,Adduct,True CCS
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,[M+H]+,242.9007843
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,[M-H]-,252.9630806
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)O)O)OC,[M+H]+,238.3932051
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)O)O)OC,[M-H]-,232.3328989
CN1C2=C(N=C(N=C2O)O)N=C1O,[M-H]-,129.3475347
CN1C2=C(C(N(C)C1=O)=O)N=CN2,[M+Na]+,148.1
CN1C2=C(C(=NC1=O)O)N=CN2,[M-H]-,124.4836505
CN1C=NC2=C1C(N(C)C(=N2)O)=O,[M+Na]+,149.4
CN1C=NC=C1CC(C(=O)O)(N=C(CCN)O)[H],[M+H]+,154.6
CN1C(=C(C(Cl)=N1)C(=O)OC)S(NC(=NC2=NC(=CC(=N2)OC)OC)O)(=O)=O,[M-H]-,195.3444212
CN(CCCN=C(C1CCCO1)O)C2=NC3=CC(=C(C=C3C(=N)N2)OC)OC,[M+H]+,193.9032278
CN(C)NC(=O)CCC(=O)O,[M-H]-,135.8780749
CN(C)CCC1=CNC=2C=CC(CC3(COC(=N3)O)[H])=CC12,[M+H]+,159.7288655
CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2,[M+H]+,155.0574687
CN(C)C1=NC2=C(C(=N1)O)N=CN2C3(C(C(C(CO)(O3)[H])(O)[H])(O)[H])[H],[M-H]-,169.1616074
CN(C)C(=NC=1C=CC(=C(C1)Cl)Cl)O,[M+H]+,153.3197336
CN(C)C(=N)NCCCC(C(=O)O)(N)[H],[M+H]+,143.6146259
ClCCOP(=O)(OCCCl)OCCCl,[M+H]+,151.0805571
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,[M+H]+,173.8303716
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,[M-H]-,178.6737079
CCOc1c(O)ccc(C=O)c1,[M-H]-,133.6852763
CCOc1c(ccc(NC(=O)C)c1)C(=O)OC,[M+H]+,151.1263181
CCOc1c(ccc(NC(=O)C)c1)C(=O)OC,[M-H]-,158.1578352
CCOC=1C=CC2=CC=CC=C2C1C(=NC3(C(N4C(C(=O)O)(C(C)(C)SC34[H])[H])=O)[H])O,[M+H]+,191.496408
CCOC(C1=CC=CC=C1C(=O)O)=O,[M+Na]+,155.6656093
CCOC(=O)c1cc(OC)c(O)cc1,[M-H]-,144.1242072
CCOC(=O)C1=CC2=CC=CC=C2OC1=O,[M+H]+,141.9164875
CCOC(=NNC=1C2=CC=CC=C2C=NN1)O,[M+H]+,150.0095201
CCOC(=NC1=NC2=CC=CC=C2N1)O,[M+H]+,141.7307608
CCN(CC)CCN=C(C=1C=C(C=CC1OC)S(C)(=O)=O)O,[M+H]+,181.6385982
CCN(CC)CCCC(C)N=C1C=2C=CC(=CC2NC=3C=CC(=CC31)OC)Cl,[M+H]+,195.6676416
CCN(CC)C(N1CCN(C)CC1)=O,[M+H]+,144.6402015
CCCSC=1C=CC2=C(C1)NC(=N2)N=C(O)OC,[M+H]+,161.9908561
CCCN=C(NS(C1=CC=C(C=C1)Cl)(=O)=O)O,[M+H]+,158.4926768
CCCCCCOC1=CC=CC=C1C(=N)O,[M+H]+,154.6315127
CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC,[M+H]+,187.5360064
CCCCCCCCCCCCCCCCCC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(O)(=O)OP(O)(=O)OCC1(C(C(C(N2C=NC3=C(N)N=CN=C32)(O1)[H])(O)[H])(OP(O)(O)=O)[H])[H])(O)[H])O)O,[M-H]-,301.8098142
CCCCCCCCCCCCCCCCC(=NC(COP([O-])(=O)OCC[N+](C)(C)C)(C(C(=C(CCCCCCCCCCCCC)[H])[H])(O)[H])[H])O,[M+Na]+,291.8939628
CCCCCCCCCCCCCCCCC(=C(OCC(COP(=O)([O-])OCC[N+](C)(C)C)(O)[H])[H])[H],[M+H]+,236.8
CCCCCCCCCCCCCCCC1=CC=CC(O)=C1C(O)=O,[M-H]-,190.917685
CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(C(=O)O)(N)[H])(O)[H],[M+H]+,222.791167
CCCCCCCCCCCCCCCC(=O)OCC(COC(CCCCCCCCCCCCCCC)=O)O,[M+Na]+,252.2
CCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,[M-H]-,178.0831722
CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,[M-H]-,167.2085742
